Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
9657,19,2699,25,13588,10360,685,5844
4146,20,2702,168,16546,10768,758,5042
2892,21,2709,500,1069,10783,8300,4021
7390,22,2713,29,339,10795,1217,1553
2156,23,2717,221,485,10796,3957,1922
3313,24,2721,157,121,10806,4728,4902
17082,25,2724,49,145,10811,8889,2428
3282,27,2730,558,5158,10814,13500,3071
17073,761,2734,27,678,10951,4571,1537
10835,1434,2741,135,344,11117,1400,4022
20526,1435,2750,7447,614,11245,9645,1920
4146,1436,2756,557,572,11246,3184,1533
5185,1437,146,555,573,11248,6690,2428
7160,1438,2762,82,701,11253,18156,1919
11134,1620,2766,184,718,11256,9727,3608
3107,1624,2769,155,1005,11259,4143,3224
5864,1625,2771,6715,1282,11261,10944,715
4215,1626,2774,222,744,11272,1282,299
2639,1627,200,570,1256,11464,17619,714
1,1628,2782,30,676,11465,1243,713
74,1629,50,389,1,11466,6391,1726
3172,1630,22,11,378,11467,5554,1763
4834,1631,5392,166,169,11471,13760,1392
910,16741,2663,7573,1,11475,4209,1
2526,16742,6240,1,264,11476,723,7087
6749,16743,6887,3963,408,11477,13573,6997
3401,16744,2644,1,6,11482,698,157
73,16745,394,117,5,11484,5148,798
909,16746,82,38,103,11485,5452,3613
1,16747,42,3,38,11488,9759,246
14125,19,391,9,378,11490,6549,319
13179,1,22,6,49,11491,7095,1763
899,2,48,574,432,11493,12962,1122
5362,20,341,6552,48,11495,4507,1407
5028,15,11,447,1825,11497,4582,488
921,6,6937,3,407,11510,10065,5271
920,3,359,6493,76,11512,1383,3436
3319,2,44,10344,88,11516,1138,465
1,1,1470,1326,1,11525,12839,2390
7429,2,4028,4344,339,11526,2023,2205
4090,4,7136,2,1093,11563,2655,8816
18477,5,7149,913,870,11570,8718,7998
844,1464,3592,7482,5010,11576,9009,1074
4055,1597,1233,607,4528,11577,4278,18
1,7718,4955,105,4380,11657,9769,654
7889,21542,3339,86,4546,12073,2773,345
11390,21543,6510,5,589,12076,6805,7985
22152,20,840,119,308,12077,7138,698
1,26,4191,135,190,12136,12016,8227
1089,22,3331,29,592,12265,13639,48
6331,19,5124,12,200,12266,12983,7970
1782,27,7152,28,1282,12411,5045,7993
3645,16,3902,41,460,12414,496,8241
745,18,847,6520,1720,12417,16214,3926
11747,19,1138,27,1075,12419,1152,2186
3617,23,2898,6755,4251,12420,10959,8041
1,1100,3120,31,4250,12426,10404,7983
2750,1594,3367,600,4543,12427,5127,158
1,16569,2468,502,4394,12428,3684,8063
2265,28,851,6284,127,12432,2517,1163
19,27,3896,19,2065,12434,4316,569
12496,26,37,492,992,12450,1925,8
1,25,3065,6446,4228,12458,15843,7982
1438,24,5921,7313,1379,12639,3193,9347
5233,7,6466,536,951,12642,18430,4006
16231,5,6648,21,1221,12643,504,6602
52,1,6930,602,1875,12644,17114,4026
1511,1601,6648,491,1221,12897,10280,6602
4950,1606,6930,1,1875,12898,8026,1640
1829,29,2365,24,920,13342,492,4026
1510,5,4723,4,8543,13843,5563,5838
18094,3,7184,2,1389,13985,15313,6897
2865,2,8498,4345,1588,14012,16587,511
1,1,371,5,510,14059,9434,8863
10493,1,7644,2,673,14073,11030,6
14089,2,356,1,982,14267,13856,7166
1,3,7269,4,1092,14307,1243,7598
1153,70,8522,25,1147,14314,10470,7110
12507,9001,8526,1,614,14316,17237,7094
4261,9004,7668,16429,607,14778,19857,7628
3532,9006,5841,16408,812,15090,1247,7049
15,26,6,16701,1327,15092,8961,2289
3948,5,10546,64,1,15093,17873,6896
1460,4,3933,19,214,15095,13764,934
1079,3,8545,1,314,15096,1485,7180
9274,1621,8151,16744,59,15103,975,8191
1205,1,8143,16864,387,15119,7011,6157
1686,19,8136,15538,52,15163,5175,8131
3808,9390,10552,151,385,15164,139,6893
4316,9391,8159,16818,345,15168,479,8113
1,2,10554,16651,33,15169,3146,2895
3388,1,8127,16444,199,15279,5803,7408
2851,1,8165,7943,379,15280,13138,6736
7234,3,10562,16164,183,15287,11493,7668
12314,4,5868,7941,389,15299,12191,7955
