Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
18,1,58,8,145,3,24,53
4,379,35,1,18,48,606,61
103,380,51,54,26,48,260,40
104,381,26,2,1,2,322,10
473,382,64,1,2,72,192,45
474,4,30,40,3,40,95,9
2,1,29,1,3,1,530,42
2,1,66,1,15,1,892,22
1,3,32,2,14,1,491,38
2,1,19,2,34,2,379,23
3,1,35,1,1,3,367,37
98,5,30,2,1,3,195,39
1,3,40,6,1,3,865,55
1,3,55,3,1,48,381,33
1,1,19,1,2,2,395,35
1,2,7,2,3,23,101,57
1,5,35,2,3,1,410,29
1,7,38,2,4,1,322,30
2,5,60,1,19,2,222,44
3,7,34,1,18,2,14,39
3,5,8,1,2,2,218,28
239,5,16,1,25,2,65,28
1,1,44,479,1,3,45,27
1,4,21,2,1,53,397,8
2,4,35,2,1,2,884,70
226,4,41,8,114,3,877,47
1,5,24,1,27,3,107,9
1,3,17,2,3,23,779,11
1,4,25,469,4,3,806,10
2,1,48,1,1,4,777,50
1,461,5,2,1,5,31,59
1,463,50,7,1,5,820,35
2,458,57,3,2,56,346,15
2,461,36,6,2,4,578,9
3,3,43,12,3,48,379,17
231,1,55,1,28,1,132,36
232,4,21,3,29,3,124,39
353,3,19,2,141,4,138,3
3,1,65,2,1,47,725,64
4,1,37,1,2,3,279,41
370,2,49,1,1,45,186,17
467,5,7,1,12,1,92,7
149,3,56,1,191,1,275,46
194,3,29,1,17,2,57,42
1,1,58,1,2,1,22,37
2,2,24,16,9,2,765,40
447,4,6,7,1,2,331,39
448,19,63,1,1,2,719,40
449,5,15,1,1,2,189,31
453,1,49,1,1,17,541,62
1,4,1,18,1,1,128,3
2,5,21,1,1,2,35,33
2,1,27,1,16,12,53,8
20,2,30,2,15,31,155,7
1,77,53,1,4,30,478,41
1,4,27,1,1,1,162,18
1,5,33,22,2,1,571,19
1,10,33,1,2,19,458,38
604,5,58,2,18,2,5,60
2,2,55,75,1,8,284,34
641,1,33,1,1,1,143,36
2,1,11,4,1,1,109,21
429,49,54,4,1,1,68,37
467,1,4,1,2,1,578,7
20,29,55,34,2,2,60,38
252,1,16,1,48,1,142,59
210,1,42,2,40,1,164,11
3,1,26,15,39,1,585,3
4,1,42,1,13,1,530,41
28,1,30,2,1,1,630,46
643,1,34,1,2,1,153,21
63,1,58,5,8,1,391,36
352,3,32,20,2,2,268,25
647,2,38,2,3,2,85,11
353,1,41,1,4,1,508,24
433,1,30,1,39,1,417,57
2,2,36,3,3,1,235,42
532,1,9,11,2,1,213,1
539,1,3,1,17,1,463,16
530,1,7,1,30,1,17,36
1,1,21,2,1,1,358,6
1,1,23,4,2,1,365,26
1,1,30,1,3,1,1015,34
1,1,33,2,4,2,199,28
413,1,17,16,30,2,542,35
418,1,18,120,29,2,46,22
1,2,34,1,27,2,553,27
235,2,38,1,33,3,330,27
233,1,22,4,1,1,159,34
234,1,28,1,2,2,284,10
2,1,8,2,3,2,455,22
253,2,43,1,3,2,216,12
265,2,10,1,53,36,380,68
2,2,67,1,16,1,109,37
22,2,20,16,2,2,223,45
3,1,12,3,2,4,320,38
264,1,40,6,9,2,621,14
2,2,45,4,10,27,102,4
412,3,41,10,1,32,398,55
1,1,26,1,1,33,154,32
188,1,23,1,2,1,189,32
1,1,27,23,3,2,17,34
26,1,43,3,3,2,443,27
232,1,44,3,4,1,207,29
227,1,54,1,59,1,861,25
28,2,55,2,60,1,506,30
29,3,39,10,22,1,593,27
1,3,44,1,23,2,492,26
1,3,4,1,2,2,244,13
1,2,8,2,17,3,542,33
127,2,30,1,8,3,120,1
2,2,60,5,2,5,849,53
2,3,26,8,1,3,490,8
3,3,30,1,2,22,308,11
4,4,33,32,3,5,362,12
1,4,25,2,53,2,314,56
369,3,18,6,54,17,377,27
3,164,1,1,1,20,622,1
83,3,23,17,1,1,36,20
118,1,15,30,1,1,567,29
1,5,54,7,1,2,40,35
2,5,45,141,1,2,867,20
373,5,48,6,2,3,105,21
1,1,53,1,4,3,47,4
97,2,28,1,6,4,122,46
1,4,41,5,6,6,480,35
684,4,38,12,41,2,85,41
629,4,20,1,4,6,748,10
317,3,53,2,1,11,395,28
35,3,27,1,2,4,559,43
207,3,10,6,271,6,172,23
505,5,16,1,246,2,955,24
2,672,1,1,1,1,179,1
3,2,1,1,1,1,321,1
2,1,1,1,1,2,193,2
3,2,2,1,2,2,281,1
289,3,3,1,5,2,318,2
384,656,1,46,10,1,527,2
1,4,2,2,1,1,190,1
28,5,2,1,1,1,595,2
1,6,3,1,2,3,241,2
2,681,3,1,2,1,84,1
1,341,3,2,3,2,360,3
218,661,1,1,18,1,866,1
2,4,1,1,11,2,897,3
2,1,4,2,12,1,605,1
1,2,14,1,20,1,563,7
194,4,14,3,7,1,80,4
1,5,7,3,8,1,18,10
1,6,7,14,24,1,286,5
20,421,3,1,31,1,204,7
1,5,8,2,13,1,142,18
624,5,56,73,2,1,543,53
60,5,59,4,4,1,20,38
1,5,54,1,3,1,350,26
1,4,55,1,1,1,274,5
659,29,56,4,1,1,408,28
1,4,23,6,5,1,311,22
639,4,3,2,1,1,601,1
1,3,1,1,2,1,300,5
2,3,1,2,2,1,386,2
2,4,1,12,1,1,388,3
1,4,3,1,1,1,21,1
2,4,1,2,1,1,814,2
2,4,10,3,1,4,459,4
534,5,8,1,2,1,858,1
168,6,1,1,2,1,366,4
1,6,7,2,5,1,262,16
526,1,30,1,447,1,440,53
525,2,20,1,22,1,74,44
528,3,12,2,1,2,395,66
176,4,75,10,2,2,94,19
177,5,58,3,17,2,14,64
321,3,65,2,20,3,441,46
403,2,66,1,19,23,302,68
175,1,2,4,23,3,567,1
464,3,17,1,10,4,377,68
176,1,44,1,217,34,593,18
1,2,7,1,14,2,529,4
2,2,34,1,7,2,499,26
2,34,6,1,2,2,430,26
3,1,24,1,1,2,308,15
4,1,21,1,1,17,335,31
5,1,37,2,234,1,747,44
320,1,16,1,1,1,23,27
31,540,54,2,1,16,913,18
4,1,18,1,29,2,799,10
5,1,61,1,31,3,644,26
6,1,66,38,30,4,524,32
197,2,14,1,2,2,458,55
2,783,17,350,24,4,347,55
3,2,74,1,1,4,59,44
4,2,75,1,117,4,118,43
2,780,44,1,10,4,367,41
2,1,54,9,2,19,329,3
291,1,13,31,10,3,141,41
1,2,9,1,1,17,517,38
288,3,12,3,402,1,5,58
2,4,101,2,276,1,202,54
289,768,48,1,3,1,354,26
294,475,49,1,5,1,497,27
3,3,50,6,1,2,28,36
191,2,36,1,1,3,133,63
3,3,52,1,1,3,410,43
285,3,54,2,2,3,103,34
365,2,7,1,65,4,907,27
1,2,12,1,2,5,256,26
2,791,17,13,66,7,40,25
2,1,2,1,1,5,147,9
3,2,32,2,20,1,505,10
2,768,57,51,2,4,708,36
3,2,50,36,19,1,475,29
2,2,52,4,44,1,208,31
239,3,44,1,1,1,35,8
226,612,19,10,2,1,763,10
2,1,7,34,36,2,412,2
1,1,3,1,34,2,54,4
83,1,24,7,1,2,751,14
1,1,30,1,1,1,579,7
197,1,15,3,10,2,36,48
2,2,33,28,4,2,96,22
283,4,37,2,5,4,183,10
284,5,53,4,62,1,822,32
184,6,60,10,46,1,787,24
756,270,24,1,2,1,810,8
1,3,25,3,3,2,274,15
48,1,5,1,2,1,786,22
683,1,9,1,3,1,726,48
453,4,44,2,21,8,844,56
128,3,14,2,1,1,129,26
362,3,19,7,1,3,453,27
368,3,43,1,56,3,140,51
327,3,1,1,3,5,257,16
1,3,7,1,1,2,403,43
2,3,44,2,55,3,145,19
326,2,45,4,1,9,728,7
1,2,5,3,1,9,272,42
30,1,39,1,1,13,548,49
35,1,22,887,109,44,658,39
35,563,30,10,9,1,724,59
691,1,73,2,1,1,70,30
3,1,2,11,1,2,277,6
147,1,17,1,45,2,629,54
367,1,8,1,1,3,202,5
1,1,11,1,1,4,179,8
1,1,14,1,1,3,211,16
2,1,69,7,1,3,478,24
2,2,38,3,2,10,81,57
3,2,9,2,2,3,499,24
12,1,60,1,1,59,782,46
13,1,38,3,2,9,851,26
2,1,61,28,176,29,219,55
1,1,76,1,49,8,484,79
1,570,41,1,1,9,579,16
1,1,69,4,4,10,491,44
525,1,72,21,5,16,170,17
585,1,18,1,2,33,218,19
353,1,47,31,4,1,238,27
141,1,51,1,5,1,678,31
141,1,22,1,1,2,162,34
11,1,40,1,2,2,313,49
2,1,28,1,2,2,239,38
10,1,33,2,3,2,499,24
3,2,38,7,296,2,560,25
141,1,73,1,4,2,455,59
2,1,58,330,298,20,431,33
225,1,27,1,3,21,300,54
1,1,59,44,4,1,642,5
1,1,10,4,22,2,172,2
1,1,20,31,25,1,14,50
1,1,74,903,1,2,639,43
2,1,8,2,4,2,145,27
3,1,15,1,6,2,793,28
3,1,36,2,4,3,726,52
207,1,4,858,5,2,228,11
34,1,25,1,3,3,47,40
203,1,63,1,5,37,906,6
204,1,47,5,10,3,94,35
205,1,31,1,80,3,280,72
799,1,54,5,2,3,1048,17
1,1,22,1,6,3,43,75
2,1,20,28,2,1,1065,39
2,1,48,2,11,5,68,21
3,1,34,18,1,1,681,17
788,1,54,4,2,1,496,40
188,1,30,14,2,2,799,33
814,1,39,11,3,10,497,59
4,489,25,1,40,1,340,51
161,1,55,3,3,7,302,16
210,1,56,1,4,26,214,25
1,1,42,4,39,1,535,44
677,1,5,1,2,2,402,58
1,1,12,1,45,1,594,27
2,1,23,1,3,20,247,36
20,1,11,531,1,2,316,13
1,1,34,8,2,3,710,38
1,1,30,1,4,3,27,29
1,1,28,2,3,3,235,17
233,1,29,2,1,4,83,16
1,1,7,1,5,2,574,6
1,1,6,1,1,2,629,48
1,1,84,2,3,2,1026,55
2,1,9,1,6,2,26,48
471,1,8,2,8,3,1057,14
1,2,16,25,1,1,405,17
1,1,55,2,2,2,69,3
75,1,45,1,4,2,319,34
2,2,35,7,1,3,529,42
1,3,66,1,2,2,527,65
818,256,69,2,1,2,38,51
166,3,37,1,1,2,669,74
1,8,57,4,6,1,21,36
1,4,26,1,4,1,71,27
1,1,32,258,3,6,560,28
1,2,34,1,2,1,89,59
1,553,19,23,2,1,250,29
1,550,23,2,4,1,437,31
1,3,36,1,4,1,459,19
1,1,43,15,6,1,78,20
2,3,42,3,19,7,117,37
2,3,44,1,20,1,769,19
32,1,45,2,18,1,247,8
1,6,17,10,4,1,42,32
1,3,3,7,15,1,313,19
1,2,49,1,2,1,160,32
1,1,26,1,3,1,322,24
1,5,44,1,2,1,277,10
2,3,13,1,9,1,354,31
105,1,8,4,19,1,34,15
1,473,20,4,17,1,319,16
1,2,9,1,16,2,323,45
1,1,23,1,2,2,242,11
1,2,26,2,3,2,406,10
1,2,33,9,13,1,166,32
1,1,32,2,2,2,676,32
1,1,37,1,58,1,642,32
1,1,20,1,1,1,192,40
1,1,26,1,1,15,128,8
1,1,3,2,1,18,85,3
1,1,1,2,1,1,8,3
1,1,4,1,2,1,224,1
98,1,5,1,3,1,580,2
1,1,3,1,3,1,503,2
725,1,74,5,12,1,758,60
757,1,75,3,11,1,169,32
1,1,76,2,10,1,560,51
721,1,6,2,1,1,538,61
2,1,42,1,2,1,514,19
712,2,70,3,2,1,361,18
1,2,40,1,3,1,208,2
644,3,43,1,12,1,219,14
1,2,17,2,4,1,302,12
173,1,6,2,8,1,744,8
114,5,4,2,12,1,567,7
1,5,8,1,11,1,147,8
1,3,6,3,14,10,694,8
1,1,12,1,1,1,545,9
526,2,9,1,18,1,394,5
2,4,13,1,2,1,681,5
1,5,12,2,6,2,126,8
14,5,20,34,1,1,772,13
486,1,14,5,1,1,128,12
15,1,19,1,1,1,623,15
418,1,10,2,1,1,669,7
80,1,13,1,1,1,630,32
81,1,56,2,1,4,710,60
1,1,19,4,2,4,809,11
663,1,99,1,1,5,597,26
185,1,45,2,1,4,21,55
1,1,4,1,2,5,339,2
1,1,1,1,1,6,148,5
508,1,67,1,49,7,758,39
1,1,34,2,16,6,786,25
1,1,11,1,1,4,348,12
1,1,7,2,1,3,155,3
2,1,8,1,1,4,198,14
587,1,10,1,1,1,217,8
2,1,6,5,1,1,295,3
535,706,11,1,1,2,454,3
2,1,13,3,1,1,820,10
496,866,15,1,1,1,110,6
618,1,5,1,2,2,929,11
1,616,2,3,2,2,542,8
189,1,1,5,1,1,472,1
521,1,1,1,1,1,575,1
152,1,4,1,68,2,704,1
1,1,1,1,1,2,347,3
146,178,2,1,1,1,286,1
190,2,4,1,3,2,307,3
1,367,3,1,53,1,492,2
1,3,1,3,1,1,2,1
1,2,1,1,1,1,20,1
1,2,1,2,1,1,728,1
140,1,1,1,1,2,319,1
85,1,1,3,1,2,149,1
1,863,1,1,1,3,115,1
2,2,1,2,1,3,140,1
3,1,2,1,1,4,110,1
4,583,1,1,1,8,214,3
4,1,4,5,1,4,613,3
90,1,2,1,1,1,75,1
1,1,2,1,1,6,177,4
1,2,8,1,45,7,92,7
1,2,43,1,1,7,420,47
1,5,58,6,1,1,1,30
1,3,15,1,21,1,503,25
1,3,53,4,3,3,902,49
1,1,27,1,2,3,922,9
1,1,9,1,1,2,588,70
451,3,58,1,6,3,278,29
473,4,39,2,2,1,101,36
1,674,29,1,2,1,548,35
252,1,18,2,2,3,606,29
206,1,28,1,2,1,150,39
1,1,21,31,1,1,181,33
1,2,4,1,6,3,375,14
1,6,11,3,8,1,814,32
1,7,22,8,57,1,70,30
1,8,64,1,58,1,126,8
1,627,78,10,1,1,439,62
1,3,58,1,1,1,504,46
1,1,12,9,1,1,424,28
350,647,52,3,1,1,71,38
683,3,11,2,40,1,861,18
368,3,59,1,2,1,598,17
1,1,60,1,4,1,345,18
1,2,13,17,3,1,321,25
1,2,19,9,8,1,262,43
4,2,23,27,4,1,410,3
1,2,41,1,1,1,155,25
1,2,32,1,1,1,125,28
1,2,31,1,2,1,161,31
1,2,44,1,2,1,348,36
155,2,23,2,2,1,30,36
1,688,36,2,2,1,506,29
956,674,29,8,37,1,479,21
1,1,23,1,2,2,113,10
1,2,30,1,4,2,106,13
1,657,11,1,6,1,989,50
160,653,34,1,8,1,135,2
516,3,34,1,7,2,432,19
1,1,15,2,37,3,360,17
379,2,10,2,2,3,541,16
752,1,10,1,1,5,1071,8
1,669,6,2,1,1,577,11
351,4,18,1,1,1,142,9
1,1,1,1,1,1,947,1
426,1,1,3,1,2,1068,1
607,2,1,1,1,2,409,1
1,5,1,74,1,1,783,1
444,4,69,1,1,1,1067,18
1,4,14,3,1,1,252,7
1,1,8,1,1,2,103,11
316,107,7,1,1,2,867,6
1,675,24,1,1,2,305,13
885,669,23,4,1,6,72,17
754,5,3,1,1,2,25,42
528,5,35,2,1,3,360,31
313,5,58,3,38,5,69,34
878,1,7,1,1,6,248,5
873,2,59,1,4,10,817,35
1,652,24,1,1,1,20,12
751,4,25,1,1,2,818,23
3,5,11,2,1,3,842,28
4,667,4,5,1,4,162,6
112,4,3,1,1,5,136,4
113,4,7,1,1,25,265,8
2,4,14,2,1,4,462,10
112,4,7,1,1,18,25,6
1,3,3,1,1,3,493,1
1,1,4,1,1,4,800,5
1,2,16,2,1,19,479,13
1,2,5,3,31,15,299,11
1,470,1,1,1,1,434,1
1,5,75,1,1,1,149,45
1,4,35,1,1,2,229,41
1,1,27,2,1,2,30,40
1,1,18,1,1,3,84,27
1,1,19,1,1,16,67,16
1,704,30,3,197,1,44,37
77,623,46,1,42,2,1014,49
464,148,13,2,1,8,798,37
282,3,45,5,3,1,872,34
2,2,48,1,4,1,366,24
2,1,8,1,15,1,472,45
1,700,8,1,15,1,299,25
2,2,9,2,16,1,654,24
371,1,40,1,2,1,166,30
1,162,51,3,15,1,386,69
1,2,1,4,1,1,351,1
2,1,1,2,1,1,177,1
487,1,1,1,1,1,377,1
1,625,27,2,2,2,296,25
1,1,25,1,2,5,803,12
1,2,1,1,1,10,414,1
78,2,1,2,1,1,51,1
1,4,1,1,1,2,77,1
218,4,21,3,4,2,82,18
3,2,51,1,1,1,520,37
2,2,19,1,1,1,1072,30
1,1,8,1,4,2,226,10
1,1,12,2,4,3,158,21
383,1,10,1,1,3,170,4
1,1,30,4,2,1,439,9
190,2,1,1,1,1,58,1
1,3,51,2,1,1,757,32
1,1,22,1,2,1,704,31
889,1082,6,1,1,1,11,3
686,1,3,1,1,1,257,5
1,897,12,3,1,1,35,3
1,2,23,1,1,1,141,19
1,1,49,1,6,1,522,25
1,3,48,1,3,1,20,49
1,619,10,1,1,2,120,41
1,1,34,1,1,2,220,18
1,1116,1,2,1,3,166,1
1,1115,1,1,1,4,204,1
83,1091,1,2,1,2,572,1
1,1089,1,5,1,3,666,1
1,1,1,1,1,1,585,1
1,1,1,1,1,1,51,1
1,2,1,2,1,1,826,1
1,2,1,1,1,1,687,1
1,1,1,1,1,1,833,1
1,1,65,1,1,1,531,25
1,997,3,1,1,1,693,42
186,1,1,2,1,1,146,1
1,633,1,3,1,1,124,1
1,1095,16,1,1,1,558,3
1,1,21,1,1,1,18,18
1,1130,39,5,1,1,380,39
1,993,22,1,1,1,497,32
1,1,43,2,1,1,159,35
1,1019,20,1,1,1,613,21
1,983,27,2,1,1,264,12
1,938,1,1,1,1,15,1
1,1,1,2,1,2,558,1
1,1,1,1,1,1,256,1
369,932,1,9,1,1,88,1
714,939,1,4,1,1,1,1
1,1,1,1,1,1,376,1
1,932,1,1,1,1,677,1
1,899,1,1,1,1,877,1
1,785,1,1,1,1,590,1
112,744,1,2,1,1,17,1
1,721,31,1,1,1,181,39
2,1,60,2,1,1,675,38
2,1,33,2,1,1,223,40
1,724,47,1,1,1,338,22
1,720,20,2,1,1,605,28
1122,2,25,1,2,1,749,29
5,3,54,1,2,1,586,44
1,744,39,1,4,1,462,30
1,2,23,1,1,1,654,41
1102,1,30,1,1,1,444,22
929,1,1,1,1,1,201,1
1,712,1,1,1,1,342,1
1,1,1,1,1,1,290,1
1,651,39,1,2,1,235,21
1,658,11,2,1,1,7,12
801,1,33,1,1,1,176,17
1,567,1,1,1,1,866,1
