Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
57,20,55,25,3,712,678,47
2,56,28,1,33,926,144,57
3,4,41,7,32,948,372,45
4,1,22,1,12,704,276,20
5,1,64,1,5,705,823,45
6,2,66,2,2,819,335,46
5,3,70,3,1,820,585,13
6,11,61,1,11,821,72,39
7,14,1,2,1,42,219,1
8,5,1,7,1,268,167,1
9,1,1,1,1,277,123,1
536,1,1,84,1,285,106,2
536,1,2,1,2,921,184,1
12,5,14,6,1,250,358,20
732,5,15,2,2,280,268,1
733,1,24,6,3,282,44,23
5,2,22,1,3,917,109,11
534,64,8,1,4,918,155,17
58,70,29,7,1,892,53,19
46,3,6,5,5,897,254,18
1,2,33,1,21,900,784,19
51,1,34,1,22,915,574,27
592,2,25,2,21,916,132,3
52,4,2,1,11,493,53,22
1,40,14,88,3,494,751,20
48,3,17,51,1,904,344,5
1,1,18,1,1,912,748,15
1,1,20,1,2,913,598,9
2,3,24,2,2,774,96,25
2,3,7,6,191,789,745,14
1,4,25,1,3,790,789,9
1,5,26,71,4,791,626,1
1,6,27,93,5,890,293,20
45,7,2,2,25,39,661,22
42,8,6,120,23,184,428,19
2,3,12,1,17,236,23,27
3,10,13,10,119,237,775,6
3,1,6,1,4,887,1034,21
1,8,17,1,5,482,3,22
2,11,11,2,6,488,99,16
2,5,19,1,7,489,409,5
3,284,21,1,11,855,523,24
4,284,11,2,15,875,225,12
47,285,4,4,23,151,226,9
3,5,9,30,24,180,696,6
60,5,12,5,34,211,910,31
6,4,20,19,1,233,354,37
60,1,46,9,14,668,76,10
124,4,16,31,12,39,758,25
1,2,36,3,27,144,5,11
1,3,21,1,156,222,322,30
1,4,21,1,10,850,589,20
1,5,3,1,23,852,311,10
2,6,41,1,1,141,536,42
3,985,41,1,12,142,395,22
3,986,3,3,32,144,238,2
679,1,42,2,33,844,69,39
680,310,71,1,1,846,176,29
817,314,38,725,1,47,680,77
1,315,54,1,1,90,1033,35
1,1,58,4,2,744,156,34
2,929,17,9,2,745,1042,22
3,2,37,2,40,746,16,17
459,272,43,6,46,38,1044,69
460,6,60,626,1,186,752,26
461,5,65,1,189,187,121,27
666,1,13,2,1,188,239,12
667,1,40,2,2,209,81,26
668,2,44,35,1,96,487,73
669,3,73,4,232,131,599,57
1,4,58,1,4,838,33,48
1,309,38,2,1,842,998,52
2,313,99,2,2,845,838,27
2,322,42,246,2,46,184,62
1,21,15,3,42,57,1127,3
1,1,45,11,3,59,2,15
1,94,49,1,2,68,354,48
1,5,78,5,29,69,192,60
2,4,79,239,28,42,96,29
48,5,97,2,5,55,196,103
3,6,35,6,9,67,218,23
3,2,65,6,20,90,411,52
4,2,66,1,18,739,166,48
5,147,3,2,1,64,520,8
67,3,12,1,1,65,421,10
68,2,18,42,1,107,792,6
69,1,19,19,1,831,921,7
70,971,20,2,48,833,237,10
71,28,12,1,2,716,611,12
72,5,7,13,2,805,296,10
3,5,3,2,1,819,605,9
58,1,2,2,3,828,800,8
66,3,5,2,4,48,125,9
1,158,24,1,15,720,69,18
60,3,18,1,28,731,375,10
1,3,6,1,1,734,1145,14
1,308,17,2,1,418,26,6
53,309,9,8,2,704,718,11
50,3,18,3,3,717,493,9
2,3,6,1,21,718,1040,9
2,1,10,3,3,196,404,12
3,309,17,1,4,668,871,9
4,5,18,8,9,669,123,5
5,1,2,14,24,670,244,1
6,2,3,123,25,299,654,3
8,3,4,1,26,399,100,5
5,959,3,15,27,404,17,6
6,2,47,47,1,663,693,22
1,3,45,1,1,231,240,67
7,6,52,1,2,241,899,26
8,154,36,19,2,657,79,38
9,150,64,1,6,658,79,73
10,1,61,2,1,553,724,40
70,148,26,1,1,646,44,29
717,8,23,1,1,650,445,8
715,2,10,2,1,652,696,2
828,1,28,1,2,508,30,27
6,2,32,1,3,509,189,15
7,1,1,19,3,643,285,15
73,5,45,22,4,644,42,33
6,27,31,1,5,595,437,11
70,11,22,8,49,614,204,19
74,3,29,2,291,636,203,22
105,2,32,1,51,638,281,30
899,187,35,3,52,582,41,24
2,1,33,1,53,587,457,11
3,1,37,120,295,620,165,12
2,1,39,6,54,633,269,20
3,1,18,8,48,571,540,32
4,2,23,21,11,582,506,25
5,3,42,92,3,583,715,21
6,4,48,10,40,611,757,17
66,306,20,1,49,616,20,42
5,1,43,1,1,624,14,22
1,3,5,1,127,628,568,36
2,4,37,3,386,629,36,46
2,4,45,1,1,576,157,41
61,5,40,1,150,612,98,44
59,5,16,107,258,613,65,59
3,5,44,154,1,619,67,13
1,6,48,65,2,574,580,38
