RCM,Grappolo,DegSort,Metis-32,Metis-64,Natural
1.232596458,1.225378837,1.28285468,1.245973391,1.22811387,1.285671415
2.589477,0.9762674773,0.9120492564,2.049146,0.9053602653,2.3739785
0.1764184865,0.1868102222,0.1807199048,0.1836317353,0.1616070833,0.1624274722
0.5577165,0.60029225,0.5306165,0.564072,0.57824,0.50338975
4.923333259,4.246788844,5.202837281,4.050557,3.995648783,4.428729785
0.53790425,0.4226262857,0.56343,0.56460075,0.56030125,0.528151
9.169768438,8.279844359,10.70897273,9.447429262,8.465523342,8.222280988
0.4325398333,0.38486325,0.540964,0.40229025,0.39440225,0.39742825
2.46864625,2.027039733,2.68780225,2.018875143,1.8775195,1.7396083
